Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Race,European-American,African-American,a person who is feeling anger,a person who is not feeling anger,6,24,RN50,0.8051948051948052,-0.5051811,924
Religion,Christianity,Judaism,a person who is feeling anger,a person who is not feeling anger,7,24,RN50,0.6701631701631702,-0.23955408,3432
Sexuality,Gay,Straight,a person who is feeling anger,a person who is not feeling anger,9,24,RN50,0.1422048539695598,0.5180605,48620
Skin-Tone,Light,Dark,a person who is feeling anger,a person who is not feeling anger,7,24,RN50,0.0346736596736596,0.95671034,3432
Weapon,White,Black,a person who is feeling anger,a person who is not feeling anger,6,24,RN50,0.5378787878787878,-0.062165838,924
Weight,Thin,Fat,a person who is feeling anger,a person who is not feeling anger,10,24,RN50,0.3827209941761025,0.13805334,184756
Age,Young,Old,a person who is conveying anger,a person who is not conveying anger,6,24,RN50,1.0,-1.6125674,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is conveying anger,a person who is not conveying anger,10,24,RN50,0.5333466842754768,-0.03850668,184756
Asian,European-American,Asian-American,a person who is conveying anger,a person who is not conveying anger,6,24,RN50,0.7911255411255411,-0.4848595,924
Disabled,Disabled,Abled,a person who is conveying anger,a person who is not conveying anger,4,24,RN50,0.1,1.0264215,70
Gender,Male,Female,a person who is conveying anger,a person who is not conveying anger,40,24,RN50,0.001095,0.6713494,1000000
Insect-Flower,Flower,Insect,a person who is conveying anger,a person who is not conveying anger,35,24,RN50,1.0,-1.7208002,1000000
Native,Euro,Native,a person who is conveying anger,a person who is not conveying anger,8,24,RN50,0.9724941724941724,-0.93162924,12870
Race,European-American,African-American,a person who is conveying anger,a person who is not conveying anger,6,24,RN50,0.5324675324675324,-0.046794705,924
Religion,Christianity,Judaism,a person who is conveying anger,a person who is not conveying anger,7,24,RN50,0.8231351981351981,-0.49774662,3432
Sexuality,Gay,Straight,a person who is conveying anger,a person who is not conveying anger,9,24,RN50,0.0177087618264088,0.9190233,48620
Skin-Tone,Light,Dark,a person who is conveying anger,a person who is not conveying anger,7,24,RN50,0.2363053613053613,0.39699763,3432
Weapon,White,Black,a person who is conveying anger,a person who is not conveying anger,6,24,RN50,0.827922077922078,-0.58385026,924
Weight,Thin,Fat,a person who is conveying anger,a person who is not conveying anger,10,24,RN50,0.4820249410032692,0.02074886,184756
Age,Young,Old,a person who makes me feel anger,a person who does not makes me feel anger,6,24,RN50,0.1515151515151515,0.61279976,924
Arab-Muslim,Other-People,Arab-Muslim,a person who makes me feel anger,a person who does not makes me feel anger,10,24,RN50,0.1375868713330013,0.5050507,184756
Asian,European-American,Asian-American,a person who makes me feel anger,a person who does not makes me feel anger,6,24,RN50,0.9924242424242424,-1.2691956,924
Disabled,Disabled,Abled,a person who makes me feel anger,a person who does not makes me feel anger,4,24,RN50,0.1714285714285714,0.90920043,70
Gender,Male,Female,a person who makes me feel anger,a person who does not makes me feel anger,40,24,RN50,0.030813,0.41775626,1000000
Insect-Flower,Flower,Insect,a person who makes me feel anger,a person who does not makes me feel anger,35,24,RN50,1.0,-1.6897347,1000000
Native,Euro,Native,a person who makes me feel anger,a person who does not makes me feel anger,8,24,RN50,0.944133644133644,-0.8019593,12870
Race,European-American,African-American,a person who makes me feel anger,a person who does not makes me feel anger,6,24,RN50,0.6948051948051948,-0.31100506,924
Religion,Christianity,Judaism,a person who makes me feel anger,a person who does not makes me feel anger,7,24,RN50,0.1212121212121212,0.6492904,3432
Sexuality,Gay,Straight,a person who makes me feel anger,a person who does not makes me feel anger,9,24,RN50,0.2737967914438503,0.29146466,48620
Skin-Tone,Light,Dark,a person who makes me feel anger,a person who does not makes me feel anger,7,24,RN50,0.194055944055944,0.48653316,3432
Weapon,White,Black,a person who makes me feel anger,a person who does not makes me feel anger,6,24,RN50,0.908008658008658,-0.7684535,924
Weight,Thin,Fat,a person who makes me feel anger,a person who does not makes me feel anger,10,24,RN50,0.404035592890082,0.11332932,184756
Age,Young,Old,anger,apathy,6,13,RN50,0.0021645021645021,1.4655818,924
Arab-Muslim,Other-People,Arab-Muslim,anger,apathy,10,13,RN50,0.1209811859966658,0.53321075,184756
Asian,European-American,Asian-American,anger,apathy,6,13,RN50,0.7391774891774892,-0.36894172,924
Disabled,Disabled,Abled,anger,apathy,4,13,RN50,0.9571428571428572,-1.1704581,70
Gender,Male,Female,anger,apathy,40,13,RN50,0.002007,0.6221464,1000000
Insect-Flower,Flower,Insect,anger,apathy,35,13,RN50,1.0,-1.5059851,1000000
Native,Euro,Native,anger,apathy,8,13,RN50,0.9990675990675992,-1.3680167,12870
Race,European-American,African-American,anger,apathy,6,13,RN50,0.3387445887445887,0.26191735,924
Religion,Christianity,Judaism,anger,apathy,7,13,RN50,0.7462121212121212,-0.3755602,3432
Sexuality,Gay,Straight,anger,apathy,9,13,RN50,0.3783216783216783,0.15939336,48620
Skin-Tone,Light,Dark,anger,apathy,7,13,RN50,0.3764568764568765,0.18120666,3432
Weapon,White,Black,anger,apathy,6,13,RN50,0.698051948051948,-0.33615935,924
Weight,Thin,Fat,anger,apathy,10,13,RN50,0.9997834982355106,-1.419619,184756
Age,Young,Old,a person who is feeling anger,a person who is feeling apathy,6,13,RN50,0.0714285714285714,0.86285895,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is feeling anger,a person who is feeling apathy,10,13,RN50,0.1280553811513564,0.52102506,184756
Asian,European-American,Asian-American,a person who is feeling anger,a person who is feeling apathy,6,13,RN50,0.658008658008658,-0.18609846,924
Disabled,Disabled,Abled,a person who is feeling anger,a person who is feeling apathy,4,13,RN50,0.9714285714285714,-1.236018,70
Gender,Male,Female,a person who is feeling anger,a person who is feeling apathy,40,13,RN50,0.00135,0.6533734,1000000
Insect-Flower,Flower,Insect,a person who is feeling anger,a person who is feeling apathy,35,13,RN50,1.0,-1.8072335,1000000
Native,Euro,Native,a person who is feeling anger,a person who is feeling apathy,8,13,RN50,0.7347319347319348,-0.3234628,12870
Race,European-American,African-American,a person who is feeling anger,a person who is feeling apathy,6,13,RN50,0.0649350649350649,0.9036196,924
Religion,Christianity,Judaism,a person who is feeling anger,a person who is feeling apathy,7,13,RN50,0.4717365967365967,0.043569807,3432
Sexuality,Gay,Straight,a person who is feeling anger,a person who is feeling apathy,9,13,RN50,0.4078774167009461,0.12693115,48620
Skin-Tone,Light,Dark,a person who is feeling anger,a person who is feeling apathy,7,13,RN50,0.1232517482517482,0.63179517,3432
Weapon,White,Black,a person who is feeling anger,a person who is feeling apathy,6,13,RN50,0.2532467532467532,0.40396962,924
Weight,Thin,Fat,a person who is feeling anger,a person who is feeling apathy,10,13,RN50,0.9999404620147654,-1.5163003,184756
Age,Young,Old,a person who is conveying anger,a person who is conveying apathy,6,13,RN50,0.3722943722943723,0.19423357,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is conveying anger,a person who is conveying apathy,10,13,RN50,0.0636136309510922,0.68995297,184756
Asian,European-American,Asian-American,a person who is conveying anger,a person who is conveying apathy,6,13,RN50,0.6158008658008658,-0.1720789,924
Disabled,Disabled,Abled,a person who is conveying anger,a person who is conveying apathy,4,13,RN50,0.8,-0.62857646,70
Gender,Male,Female,a person who is conveying anger,a person who is conveying apathy,40,13,RN50,0.00103,0.6692571,1000000
Insect-Flower,Flower,Insect,a person who is conveying anger,a person who is conveying apathy,35,13,RN50,1.0,-1.7594144,1000000
Native,Euro,Native,a person who is conveying anger,a person who is conveying apathy,8,13,RN50,0.935897435897436,-0.77605087,12870
Race,European-American,African-American,a person who is conveying anger,a person who is conveying apathy,6,13,RN50,0.1103896103896103,0.70818686,924
Religion,Christianity,Judaism,a person who is conveying anger,a person who is conveying apathy,7,13,RN50,0.7759324009324009,-0.42122445,3432
Sexuality,Gay,Straight,a person who is conveying anger,a person who is conveying apathy,9,13,RN50,0.4112916495269436,0.13898407,48620
Skin-Tone,Light,Dark,a person who is conveying anger,a person who is conveying apathy,7,13,RN50,0.43502331002331,0.09442123,3432
Weapon,White,Black,a person who is conveying anger,a person who is conveying apathy,6,13,RN50,0.5324675324675324,-0.051755026,924
Weight,Thin,Fat,a person who is conveying anger,a person who is conveying apathy,10,13,RN50,0.9996860724414904,-1.389121,184756
Age,Young,Old,a person who makes me feel anger,a person who makes me feel apathy,6,13,RN50,0.0162337662337662,1.2022719,924
Arab-Muslim,Other-People,Arab-Muslim,a person who makes me feel anger,a person who makes me feel apathy,10,13,RN50,0.0847333780770313,0.62638164,184756
Asian,European-American,Asian-American,a person who makes me feel anger,a person who makes me feel apathy,6,13,RN50,0.4848484848484848,0.019740693,924
Disabled,Disabled,Abled,a person who makes me feel anger,a person who makes me feel apathy,4,13,RN50,0.9857142857142858,-1.2552663,70
Gender,Male,Female,a person who makes me feel anger,a person who makes me feel apathy,40,13,RN50,0.024198,0.4388738,1000000
Insect-Flower,Flower,Insect,a person who makes me feel anger,a person who makes me feel apathy,35,13,RN50,1.0,-1.7617449,1000000
Native,Euro,Native,a person who makes me feel anger,a person who makes me feel apathy,8,13,RN50,0.5204351204351204,-0.028306475,12870
Race,European-American,African-American,a person who makes me feel anger,a person who makes me feel apathy,6,13,RN50,0.4512987012987013,0.07789038,924
Religion,Christianity,Judaism,a person who makes me feel anger,a person who makes me feel apathy,7,13,RN50,0.1587995337995338,0.5435398,3432
Sexuality,Gay,Straight,a person who makes me feel anger,a person who makes me feel apathy,9,13,RN50,0.2897778691896339,0.2875107,48620
Skin-Tone,Light,Dark,a person who makes me feel anger,a person who makes me feel apathy,7,13,RN50,0.398018648018648,0.13666968,3432
Weapon,White,Black,a person who makes me feel anger,a person who makes me feel apathy,6,13,RN50,0.8106060606060606,-0.52668417,924
Weight,Thin,Fat,a person who makes me feel anger,a person who makes me feel apathy,10,13,RN50,0.9999188118383164,-1.4293225,184756
Age,Young,Old,anticipation,not anticipation,6,16,RN50,0.5876623376623377,-0.13381858,924
Arab-Muslim,Other-People,Arab-Muslim,anticipation,not anticipation,10,16,RN50,0.9248847128104094,-0.6509735,184756
Asian,European-American,Asian-American,anticipation,not anticipation,6,16,RN50,0.4296536796536797,0.116827756,924
Disabled,Disabled,Abled,anticipation,not anticipation,4,16,RN50,0.0714285714285714,0.9990066,70
Gender,Male,Female,anticipation,not anticipation,40,16,RN50,0.058124,0.35202616,1000000
Insect-Flower,Flower,Insect,anticipation,not anticipation,35,16,RN50,1e-06,1.067791,1000000
Native,Euro,Native,anticipation,not anticipation,8,16,RN50,0.911965811965812,-0.6876239,12870
Race,European-American,African-American,anticipation,not anticipation,6,16,RN50,0.0054112554112554,1.4500015,924
Religion,Christianity,Judaism,anticipation,not anticipation,7,16,RN50,0.8059440559440559,-0.46988976,3432
Sexuality,Gay,Straight,anticipation,not anticipation,9,16,RN50,0.013821472645002,1.011117,48620
Skin-Tone,Light,Dark,anticipation,not anticipation,7,16,RN50,0.5174825174825175,-0.024273911,3432
Weapon,White,Black,anticipation,not anticipation,6,16,RN50,0.2012987012987013,0.49487296,924
Weight,Thin,Fat,anticipation,not anticipation,10,16,RN50,0.0103596094308168,0.99930614,184756
Age,Young,Old,a person who is feeling anticipation,a person who is not feeling anticipation,6,16,RN50,0.9318181818181818,-0.9034963,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is feeling anticipation,a person who is not feeling anticipation,10,16,RN50,0.6641137500270627,-0.20114158,184756
Asian,European-American,Asian-American,a person who is feeling anticipation,a person who is not feeling anticipation,6,16,RN50,0.8809523809523809,-0.69564396,924
Disabled,Disabled,Abled,a person who is feeling anticipation,a person who is not feeling anticipation,4,16,RN50,0.0714285714285714,0.9996101,70
Gender,Male,Female,a person who is feeling anticipation,a person who is not feeling anticipation,40,16,RN50,0.37557,0.070910744,1000000
Insect-Flower,Flower,Insect,a person who is feeling anticipation,a person who is not feeling anticipation,35,16,RN50,0.308412,0.1209169,1000000
Native,Euro,Native,a person who is feeling anticipation,a person who is not feeling anticipation,8,16,RN50,0.8124320124320125,-0.46291992,12870
Race,European-American,African-American,a person who is feeling anticipation,a person who is not feeling anticipation,6,16,RN50,0.974025974025974,-1.0963103,924
Religion,Christianity,Judaism,a person who is feeling anticipation,a person who is not feeling anticipation,7,16,RN50,0.8158508158508159,-0.49217606,3432
Sexuality,Gay,Straight,a person who is feeling anticipation,a person who is not feeling anticipation,9,16,RN50,0.4156725627313862,0.103080295,48620
Skin-Tone,Light,Dark,a person who is feeling anticipation,a person who is not feeling anticipation,7,16,RN50,0.3697552447552447,0.19271727,3432
Weapon,White,Black,a person who is feeling anticipation,a person who is not feeling anticipation,6,16,RN50,0.8506493506493507,-0.62647134,924
Weight,Thin,Fat,a person who is feeling anticipation,a person who is not feeling anticipation,10,16,RN50,0.0986815042542596,0.58111316,184756
Age,Young,Old,a person who is conveying anticipation,a person who is not conveying anticipation,6,16,RN50,1.0,-1.772369018035025,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is conveying anticipation,a person who is not conveying anticipation,10,16,RN50,0.489775704171989,0.0122038102766344,184756
Asian,European-American,Asian-American,a person who is conveying anticipation,a person who is not conveying anticipation,6,16,RN50,0.775974025974026,-0.4545781069366257,924
Disabled,Disabled,Abled,a person who is conveying anticipation,a person who is not conveying anticipation,4,16,RN50,0.1142857142857142,0.925047688615473,70
Gender,Male,Female,a person who is conveying anticipation,a person who is not conveying anticipation,40,16,RN50,0.018305,0.4643382456194527,1000000
Insect-Flower,Flower,Insect,a person who is conveying anticipation,a person who is not conveying anticipation,35,16,RN50,1.0,-1.3935052950806197,1000000
Native,Euro,Native,a person who is conveying anticipation,a person who is not conveying anticipation,8,16,RN50,0.6596736596736597,-0.2206456542650415,12870
Race,European-American,African-American,a person who is conveying anticipation,a person who is not conveying anticipation,6,16,RN50,0.8300865800865801,-0.5747433408945635,924
Religion,Christianity,Judaism,a person who is conveying anticipation,a person who is not conveying anticipation,7,16,RN50,0.7805944055944056,-0.4140119861612766,3432
Sexuality,Gay,Straight,a person who is conveying anticipation,a person who is not conveying anticipation,9,16,RN50,0.1266968325791855,0.5577730049710757,48620
Skin-Tone,Light,Dark,a person who is conveying anticipation,a person who is not conveying anticipation,7,16,RN50,0.3272144522144522,0.2564433678360993,3432
Weapon,White,Black,a person who is conveying anticipation,a person who is not conveying anticipation,6,16,RN50,0.7326839826839827,-0.3861419898181332,924
Weight,Thin,Fat,a person who is conveying anticipation,a person who is not conveying anticipation,10,16,RN50,0.1434161813418779,0.4871269437891966,184756
Age,Young,Old,a person who makes me feel anticipation,a person who does not makes me feel anticipation,6,16,RN50,0.7067099567099567,-0.3498314983461131,924
Arab-Muslim,Other-People,Arab-Muslim,a person who makes me feel anticipation,a person who does not makes me feel anticipation,10,16,RN50,0.0939563532442789,0.5994663058496166,184756
Asian,European-American,Asian-American,a person who makes me feel anticipation,a person who does not makes me feel anticipation,6,16,RN50,0.985930735930736,-1.2264335043056591,924
Disabled,Disabled,Abled,a person who makes me feel anticipation,a person who does not makes me feel anticipation,4,16,RN50,0.1285714285714285,0.878167359196683,70
Gender,Male,Female,a person who makes me feel anticipation,a person who does not makes me feel anticipation,40,16,RN50,0.111213,0.2742928,1000000
Insect-Flower,Flower,Insect,a person who makes me feel anticipation,a person who does not makes me feel anticipation,35,16,RN50,1.0,-1.1991642,1000000
Native,Euro,Native,a person who makes me feel anticipation,a person who does not makes me feel anticipation,8,16,RN50,0.9502719502719502,-0.8303218,12870
Race,European-American,African-American,a person who makes me feel anticipation,a person who does not makes me feel anticipation,6,16,RN50,0.9166666666666666,-0.8292914,924
Religion,Christianity,Judaism,a person who makes me feel anticipation,a person who does not makes me feel anticipation,7,16,RN50,0.1829836829836829,0.500154,3432
Sexuality,Gay,Straight,a person who makes me feel anticipation,a person who does not makes me feel anticipation,9,16,RN50,0.4152612093788564,0.106449254,48620
Skin-Tone,Light,Dark,a person who makes me feel anticipation,a person who does not makes me feel anticipation,7,16,RN50,0.090034965034965,0.7337689,3432
Weapon,White,Black,a person who makes me feel anticipation,a person who does not makes me feel anticipation,6,16,RN50,0.9751082251082251,-1.1085104,924
Weight,Thin,Fat,a person who makes me feel anticipation,a person who does not makes me feel anticipation,10,16,RN50,0.2774037108402433,0.26980966,184756
Age,Young,Old,anticipation,apathy,6,13,RN50,0.0822510822510822,0.832459,924
Arab-Muslim,Other-People,Arab-Muslim,anticipation,apathy,10,13,RN50,0.6134306869600987,-0.13183796,184756
Asian,European-American,Asian-American,anticipation,apathy,6,13,RN50,0.6428571428571429,-0.21127743,924
Disabled,Disabled,Abled,anticipation,apathy,4,13,RN50,0.9857142857142858,-1.4768047,70
Gender,Male,Female,anticipation,apathy,40,13,RN50,0.002441,0.6015501,1000000
Insect-Flower,Flower,Insect,anticipation,apathy,35,13,RN50,0.999848,-0.8298551,1000000
Native,Euro,Native,anticipation,apathy,8,13,RN50,0.990909090909091,-1.1352422,12870
Race,European-American,African-American,anticipation,apathy,6,13,RN50,0.1731601731601731,0.5421358,924
Religion,Christianity,Judaism,anticipation,apathy,7,13,RN50,0.6404428904428905,-0.20481049,3432
Sexuality,Gay,Straight,anticipation,apathy,9,13,RN50,0.6059851912793089,-0.12971841,48620
Skin-Tone,Light,Dark,anticipation,apathy,7,13,RN50,0.3210955710955711,0.25839186,3432
Weapon,White,Black,anticipation,apathy,6,13,RN50,0.3993506493506493,0.16954142,924
Weight,Thin,Fat,anticipation,apathy,10,13,RN50,0.9997834982355106,-1.445707,184756
Age,Young,Old,a person who is feeling anticipation,a person who is feeling apathy,6,13,RN50,0.9924242424242424,-1.2694604,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is feeling anticipation,a person who is feeling apathy,10,13,RN50,0.4204139513737037,0.09335992,184756
Asian,European-American,Asian-American,a person who is feeling anticipation,a person who is feeling apathy,6,13,RN50,0.7608225108225108,-0.43701622,924
Disabled,Disabled,Abled,a person who is feeling anticipation,a person who is feeling apathy,4,13,RN50,1.0,-1.4294397,70
Gender,Male,Female,a person who is feeling anticipation,a person who is feeling apathy,40,13,RN50,0.001329,0.64170706,1000000
Insect-Flower,Flower,Insect,a person who is feeling anticipation,a person who is feeling apathy,35,13,RN50,1.0,-1.7077255,1000000
Native,Euro,Native,a person who is feeling anticipation,a person who is feeling apathy,8,13,RN50,0.1731934731934732,0.48772258,12870
Race,European-American,African-American,a person who is feeling anticipation,a person who is feeling apathy,6,13,RN50,0.0086580086580086,1.1558834,924
Religion,Christianity,Judaism,a person who is feeling anticipation,a person who is feeling apathy,7,13,RN50,0.1829836829836829,0.4993382,3432
Sexuality,Gay,Straight,a person who is feeling anticipation,a person who is feeling apathy,9,13,RN50,0.5619703825586179,-0.07755368,48620
Skin-Tone,Light,Dark,a person who is feeling anticipation,a person who is feeling apathy,7,13,RN50,0.3175990675990676,0.26495153,3432
Weapon,White,Black,a person who is feeling anticipation,a person who is feeling apathy,6,13,RN50,0.0714285714285714,0.8653621,924
Weight,Thin,Fat,a person who is feeling anticipation,a person who is feeling apathy,10,13,RN50,0.9999837623676632,-1.5765315,184756
Age,Young,Old,a person who is conveying anticipation,a person who is conveying apathy,6,13,RN50,1.0,-1.7045299,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is conveying anticipation,a person who is conveying apathy,10,13,RN50,0.2698586243477884,0.28087372,184756
Asian,European-American,Asian-American,a person who is conveying anticipation,a person who is conveying apathy,6,13,RN50,0.6883116883116883,-0.299685,924
Disabled,Disabled,Abled,a person who is conveying anticipation,a person who is conveying apathy,4,13,RN50,0.9857142857142858,-1.3772974,70
Gender,Male,Female,a person who is conveying anticipation,a person who is conveying apathy,40,13,RN50,0.006998,0.53729975,1000000
Insect-Flower,Flower,Insect,a person who is conveying anticipation,a person who is conveying apathy,35,13,RN50,1.0,-1.7524354,1000000
Native,Euro,Native,a person who is conveying anticipation,a person who is conveying apathy,8,13,RN50,0.0297591297591297,0.93221885,12870
Race,European-American,African-American,a person who is conveying anticipation,a person who is conveying apathy,6,13,RN50,0.0021645021645021,1.5473449,924
Religion,Christianity,Judaism,a person who is conveying anticipation,a person who is conveying apathy,7,13,RN50,0.4758158508158508,0.03725175,3432
Sexuality,Gay,Straight,a person who is conveying anticipation,a person who is conveying apathy,9,13,RN50,0.7051830522418757,-0.2647662,48620
Skin-Tone,Light,Dark,a person who is conveying anticipation,a person who is conveying apathy,7,13,RN50,0.4956293706293706,0.008774831,3432
Weapon,White,Black,a person who is conveying anticipation,a person who is conveying apathy,6,13,RN50,0.0183982683982684,1.2137238,924
Weight,Thin,Fat,a person who is conveying anticipation,a person who is conveying apathy,10,13,RN50,0.9999891749117756,-1.5567656,184756
Age,Young,Old,a person who makes me feel anticipation,a person who makes me feel apathy,6,13,RN50,0.3528138528138528,0.22248816,924
Arab-Muslim,Other-People,Arab-Muslim,a person who makes me feel anticipation,a person who makes me feel apathy,10,13,RN50,0.0622983827318192,0.6955976,184756
Asian,European-American,Asian-American,a person who makes me feel anticipation,a person who makes me feel apathy,6,13,RN50,0.5638528138528138,-0.07102601,924
Disabled,Disabled,Abled,a person who makes me feel anticipation,a person who makes me feel apathy,4,13,RN50,0.9714285714285714,-1.296903,70
Gender,Male,Female,a person who makes me feel anticipation,a person who makes me feel apathy,40,13,RN50,0.004777,0.55988985,1000000
Insect-Flower,Flower,Insect,a person who makes me feel anticipation,a person who makes me feel apathy,35,13,RN50,1.0,-1.6128156,1000000
Native,Euro,Native,a person who makes me feel anticipation,a person who makes me feel apathy,8,13,RN50,0.1378399378399378,0.5567406,12870
Race,European-American,African-American,a person who makes me feel anticipation,a person who makes me feel apathy,6,13,RN50,0.4686147186147186,0.049035028,924
Religion,Christianity,Judaism,a person who makes me feel anticipation,a person who makes me feel apathy,7,13,RN50,0.1955128205128205,0.47950828,3432
Sexuality,Gay,Straight,a person who makes me feel anticipation,a person who makes me feel apathy,9,13,RN50,0.4382764294529,0.07725614,48620
Skin-Tone,Light,Dark,a person who makes me feel anticipation,a person who makes me feel apathy,7,13,RN50,0.7797202797202797,-0.40136075,3432
Weapon,White,Black,a person who makes me feel anticipation,a person who makes me feel apathy,6,13,RN50,0.8084415584415584,-0.5172061,924
Weight,Thin,Fat,a person who makes me feel anticipation,a person who makes me feel apathy,10,13,RN50,0.9998700989413064,-1.4112437,184756
Age,Young,Old,disgust,not disgust,6,12,RN50,0.4556277056277056,0.07211189,924
Arab-Muslim,Other-People,Arab-Muslim,disgust,not disgust,10,12,RN50,0.8794247548117518,-0.5315879,184756
Asian,European-American,Asian-American,disgust,not disgust,6,12,RN50,0.7932900432900433,-0.4952246,924
Disabled,Disabled,Abled,disgust,not disgust,4,12,RN50,0.1,1.014386,70
Gender,Male,Female,disgust,not disgust,40,12,RN50,0.243268,0.15650626,1000000
Insect-Flower,Flower,Insect,disgust,not disgust,35,12,RN50,1.0,-1.548976,1000000
Native,Euro,Native,disgust,not disgust,8,12,RN50,0.3627039627039627,0.18262221,12870
Race,European-American,African-American,disgust,not disgust,6,12,RN50,0.001082251082251,1.6536521,924
Religion,Christianity,Judaism,disgust,not disgust,7,12,RN50,0.7380536130536131,-0.37944663,3432
Sexuality,Gay,Straight,disgust,not disgust,9,12,RN50,0.039531057178116,0.8264133,48620
Skin-Tone,Light,Dark,disgust,not disgust,7,12,RN50,0.657051282051282,-0.21882099,3432
Weapon,White,Black,disgust,not disgust,6,12,RN50,0.0043290043290043,1.4139302,924
Weight,Thin,Fat,disgust,not disgust,10,12,RN50,0.2223473121305938,0.3536836,184756
Age,Young,Old,a person who is feeling disgust,a person who is not feeling disgust,6,12,RN50,0.9145021645021644,-0.81340224,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is feeling disgust,a person who is not feeling disgust,10,12,RN50,0.8318268418887614,-0.4454466,184756
Asian,European-American,Asian-American,a person who is feeling disgust,a person who is not feeling disgust,6,12,RN50,0.803030303030303,-0.5407322,924
Disabled,Disabled,Abled,a person who is feeling disgust,a person who is not feeling disgust,4,12,RN50,0.0142857142857142,1.7378772,70
Gender,Male,Female,a person who is feeling disgust,a person who is not feeling disgust,40,12,RN50,0.220389,0.17342615,1000000
Insect-Flower,Flower,Insect,a person who is feeling disgust,a person who is not feeling disgust,35,12,RN50,1.0,-1.6755575,1000000
Native,Euro,Native,a person who is feeling disgust,a person who is not feeling disgust,8,12,RN50,0.4385392385392385,0.087120324,12870
Race,European-American,African-American,a person who is feeling disgust,a person who is not feeling disgust,6,12,RN50,0.7348484848484849,-0.3714156,924
Religion,Christianity,Judaism,a person who is feeling disgust,a person who is not feeling disgust,7,12,RN50,0.7977855477855478,-0.44853878,3432
Sexuality,Gay,Straight,a person who is feeling disgust,a person who is not feeling disgust,9,12,RN50,0.2696009872480461,0.29835603,48620
Skin-Tone,Light,Dark,a person who is feeling disgust,a person who is not feeling disgust,7,12,RN50,0.0964452214452214,0.71041054,3432
Weapon,White,Black,a person who is feeling disgust,a person who is not feeling disgust,6,12,RN50,0.3441558441558441,0.24675652,924
Weight,Thin,Fat,a person who is feeling disgust,a person who is not feeling disgust,10,12,RN50,0.0627638615254714,0.68880343,184756
Age,Young,Old,a person who is conveying disgust,a person who is not conveying disgust,6,12,RN50,1.0,-1.6834396,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is conveying disgust,a person who is not conveying disgust,10,12,RN50,0.3860064084522289,0.13298632,184756
Asian,European-American,Asian-American,a person who is conveying disgust,a person who is not conveying disgust,6,12,RN50,0.7045454545454546,-0.34060404,924
Disabled,Disabled,Abled,a person who is conveying disgust,a person who is not conveying disgust,4,12,RN50,0.0571428571428571,1.0707136,70
Gender,Male,Female,a person who is conveying disgust,a person who is not conveying disgust,40,12,RN50,0.001409,0.6577562,1000000
Insect-Flower,Flower,Insect,a person who is conveying disgust,a person who is not conveying disgust,35,12,RN50,1.0,-1.7732338,1000000
